source_soil,pH,N_total_mgkg,K_mgkg,habitability_score
Earth,7.388,1.948,11.962,0.5801
Earth,8.491,3.039,5.154,0.281
Earth,9.396,2.013,8.879,0.0793
Earth,6.651,6.679,4.491,0.7382
Earth,9.171,2.559,12.438,0.102
Earth,8.231,6.022,2.547,0.4698
Earth,8.192,7.603,12.612,0.5481
Earth,8.001,4.694,9.438,0.5068
Earth,6.708,4.78,3.617,0.6709
Earth,6.77,4.227,8.588,0.6565
Earth,8.303,3.281,4.955,0.3522
Earth,7.523,4.33,5.529,0.6494
Earth,9.252,5.22,5.921,0.1886
Earth,7.72,7.902,1.886,0.7052
Earth,6.93,7.564,14.803,0.7796
Earth,8.644,7.035,1.441,0.3663
Earth,7.38,7.224,10.275,0.7631
Earth,8.076,4.275,6.197,0.4637
Earth,8.593,5.602,10.044,0.3416
Earth,9.201,7.265,5.987,0.2603
Earth,8.877,3.751,10.433,0.1828
Earth,8.529,7.732,11.209,0.4388
Earth,8.539,3.911,10.668,0.3012
Earth,9.338,5.208,2.595,0.1849
Earth,7.387,5.969,10.197,0.7191
Earth,6.503,7.654,4.92,0.7728
Earth,7.316,2.712,1.403,0.5963
Earth,7.154,6.223,6.808,0.7246
Earth,8.486,4.646,7.07,0.3412
Earth,8.401,2.88,7.54,0.308
Earth,8.28,6.436,10.868,0.476
Earth,6.549,4.866,5.324,0.6756
Earth,8.686,5.627,5.414,0.3069
Earth,7.471,3.26,1.848,0.616
Earth,8.495,4.369,10.615,0.3318
Earth,8.17,5.321,8.95,0.472
Earth,7.528,3.834,5.892,0.6307
Earth,6.904,2.389,10.873,0.5945
Earth,6.783,7.731,8.523,0.7791
Earth,8.995,4.58,7.569,0.1697
Earth,9.255,6.137,8.159,0.223
Earth,8.449,3.877,9.909,0.3292
Earth,6.81,3.486,10.24,0.6322
Earth,7.706,3.85,5.045,0.5711
Earth,8.687,3.864,2.97,0.2426
Earth,8.839,4.809,3.193,0.225
Earth,6.855,4.804,9.951,0.6781
Earth,6.5,4.48,13.22,0.67
Earth,8.636,1.944,6.733,0.196
Earth,7.57,4.473,3.373,0.6366
Earth,7.263,2.184,11.592,0.588
Earth,6.539,1.883,12.655,0.5786
Earth,8.121,7.529,13.328,0.5699
Earth,9.053,5.235,9.496,0.1927
Earth,9.373,5.616,13.05,0.2096
Earth,8.197,3.813,1.216,0.4022
Earth,8.043,7.363,2.501,0.5791
Earth,6.755,5.466,2.296,0.6936
Earth,8.147,6.384,10.976,0.5189
Earth,7.64,3.58,1.974,0.5806
Earth,8.321,7.72,7.949,0.5044
Earth,7.666,6.743,7.618,0.6882
Earth,7.221,6.978,5.35,0.7496
Earth,6.785,2.205,13.186,0.5904
Earth,7.445,2.897,3.386,0.6048
Earth,6.79,2.999,5.934,0.6109
Earth,7.031,2.896,11.838,0.6132
Earth,9.462,6.988,1.426,0.246
Earth,7.832,1.223,10.421,0.4425
Earth,8.096,1.533,12.43,0.3675
Earth,9.121,2.917,14.052,0.1162
Earth,9.487,2.399,13.268,0.0972
Earth,8.248,2.623,5.471,0.3479
Earth,8.937,6.586,9.209,0.2606
Earth,7.481,4.942,2.082,0.675
Earth,7.417,1.04,4.61,0.541
Earth,7.708,4.005,2.319,0.5731
Earth,8.518,3.855,5.413,0.3012
Earth,8.547,1.798,13.253,0.2273
Earth,7.446,5.733,5.86,0.7065
Earth,6.9,5.915,8.867,0.7159
Earth,8.397,6.046,7.067,0.4196
Earth,6.885,6.099,7.425,0.7209
Earth,8.235,1.0,14.574,0.3044
Earth,8.58,7.677,5.146,0.4138
Earth,8.602,6.699,9.783,0.377
Earth,8.76,7.328,6.881,0.3432
Earth,9.119,1.11,1.856,0.0407
Earth,8.0,7.537,7.851,0.605
Earth,8.691,6.669,12.387,0.3489
Earth,8.358,6.861,2.383,0.4567
Earth,7.06,1.653,1.974,0.5598
Earth,6.577,6.171,3.151,0.7192
Earth,7.354,7.719,11.702,0.7819
Earth,7.829,5.75,11.136,0.6027
Earth,8.351,4.994,8.91,0.3999
Earth,9.05,7.619,7.555,0.2742
Earth,7.089,4.101,13.437,0.657
Earth,6.877,5.195,11.734,0.6936
Earth,9.39,4.334,12.367,0.1641
Earth,6.824,7.53,12.386,0.7759
Earth,7.935,1.533,9.998,0.4185
Earth,8.257,4.508,7.412,0.413
Earth,8.124,5.809,13.105,0.5084
Earth,6.758,6.543,13.964,0.743
Earth,6.671,5.081,1.333,0.6792
Earth,6.816,7.362,1.722,0.7594
Earth,8.257,7.594,14.422,0.528
Earth,8.133,1.45,4.88,0.3446
Earth,7.201,3.817,13.227,0.6468
Earth,8.413,1.164,6.443,0.2427
Earth,8.96,3.306,2.667,0.1316
Earth,6.625,4.758,2.126,0.6687
Earth,7.994,7.376,3.191,0.5965
Earth,8.568,6.926,4.499,0.3909
Earth,7.257,1.892,7.839,0.5741
Earth,7.423,1.651,10.821,0.5686
Earth,8.341,5.125,14.81,0.4139
Earth,9.194,4.725,7.181,0.1725
Earth,8.93,2.865,8.255,0.1319
Earth,8.249,7.296,8.305,0.5139
Earth,8.691,7.492,8.552,0.3739
Earth,7.594,3.818,8.248,0.6104
Earth,8.423,7.232,1.123,0.4466
Earth,7.899,3.688,1.024,0.4972
Earth,7.07,6.158,2.367,0.7179
Earth,8.605,4.332,2.422,0.2856
Earth,8.169,1.858,10.869,0.3528
Earth,7.576,7.496,3.869,0.7409
Earth,9.234,4.179,13.526,0.1598
Earth,6.563,6.141,14.0,0.7289
Earth,7.447,3.57,14.663,0.6396
Earth,6.671,1.132,14.147,0.5538
Earth,8.8,1.704,4.806,0.1312
Earth,8.606,4.474,8.137,0.2959
Earth,7.494,5.83,3.456,0.7075
Earth,8.527,3.343,12.287,0.287
Earth,7.688,5.868,13.438,0.6562
Earth,8.769,5.89,12.918,0.2962
Earth,7.863,5.928,7.067,0.5937
Earth,7.737,4.448,11.621,0.5883
Earth,9.304,7.404,2.366,0.2615
Earth,7.253,4.424,1.563,0.6564
Earth,6.861,4.152,11.545,0.6569
Earth,8.254,2.396,6.955,0.3396
Earth,9.408,3.154,14.938,0.1253
Earth,7.634,1.296,2.362,0.5032
Earth,6.686,5.435,12.979,0.7032
Earth,7.518,2.74,7.72,0.5976
Earth,8.018,3.129,12.58,0.4495
Earth,6.986,6.396,12.44,0.7363
Earth,8.474,3.291,13.824,0.3042
Earth,9.493,2.695,5.17,0.0995
Earth,7.855,2.183,14.297,0.4723
Earth,7.564,6.424,3.123,0.7066
Earth,7.702,1.908,2.148,0.5016
Earth,6.845,4.176,7.043,0.6532
Earth,9.15,4.549,12.597,0.1718
Earth,7.744,5.812,7.628,0.6295
Earth,7.662,5.433,12.61,0.6488
Earth,8.479,6.675,11.216,0.4185
Earth,7.826,1.313,3.932,0.4412
Earth,8.445,3.075,14.284,0.307
Earth,6.684,2.961,1.851,0.6055
Earth,8.941,2.022,13.576,0.104
Earth,9.322,3.024,5.262,0.1111
Earth,8.446,3.168,8.002,0.3035
Earth,9.364,4.653,6.913,0.1698
Earth,6.954,5.646,3.406,0.701
Earth,7.932,3.668,6.014,0.4903
Earth,8.305,6.036,3.701,0.4465
Earth,8.245,3.353,3.854,0.3728
Earth,7.704,3.032,3.619,0.5416
Earth,7.514,4.788,7.846,0.6707
Earth,6.88,1.166,12.171,0.553
Earth,7.675,1.559,8.966,0.5051
Earth,6.988,3.926,13.505,0.6509
Earth,8.703,7.6,9.912,0.3749
Earth,7.126,6.051,10.651,0.7224
Earth,6.676,1.617,10.347,0.5669
Earth,8.157,6.924,7.292,0.5306
Earth,8.286,6.126,10.651,0.4632
Earth,9.116,5.277,1.976,0.1867
Earth,8.231,6.742,13.038,0.5054
Earth,7.536,3.829,11.889,0.6337
Earth,8.909,2.551,4.433,0.124
Earth,8.121,4.584,11.752,0.4653
Earth,6.738,4.842,1.177,0.6706
Earth,8.198,4.768,4.041,0.4384
Earth,9.224,4.956,1.912,0.1754
Earth,7.689,7.641,11.923,0.7164
Earth,7.389,7.316,11.582,0.7676
Earth,6.93,7.13,12.391,0.7619
Earth,6.954,6.61,1.063,0.7324
Earth,7.798,7.604,8.017,0.6747
Earth,8.287,1.689,10.868,0.3077
Earth,6.742,2.856,3.176,0.6031
Earth,9.319,4.465,10.097,0.1664
Earth,8.765,6.926,2.178,0.3228
Earth,8.26,4.536,3.539,0.409
Earth,8.985,6.236,7.661,0.2308
Earth,6.741,1.973,10.15,0.5792
Earth,7.931,2.767,3.042,0.4564
Earth,8.39,6.122,3.593,0.4211
Earth,8.986,2.153,3.862,0.0839
Earth,8.85,3.459,4.342,0.1753
Earth,7.331,2.854,4.172,0.6041
Earth,9.323,3.449,6.532,0.1272
Earth,6.873,5.958,10.153,0.7187
Earth,9.125,3.575,7.132,0.1323
Earth,9.413,4.887,11.864,0.1829
Earth,7.031,1.7,11.07,0.5706
Earth,8.666,6.635,2.771,0.3463
Earth,6.621,3.589,1.684,0.6273
Earth,7.716,5.54,13.291,0.6351
Earth,8.049,6.078,2.118,0.5319
Earth,8.242,2.468,3.077,0.3421
Earth,9.308,7.193,1.31,0.2531
Earth,8.517,5.314,9.797,0.3569
Earth,7.944,4.001,9.153,0.5012
Earth,8.929,2.276,14.817,0.1181
Earth,9.352,7.596,13.417,0.2793
Earth,6.566,6.285,6.752,0.7267
Earth,9.448,2.456,6.202,0.0922
Earth,6.758,3.364,5.156,0.6229
Earth,8.943,6.668,3.134,0.2555
Earth,7.341,5.87,2.933,0.7084
Earth,6.897,6.36,2.852,0.7255
Earth,7.82,4.088,2.598,0.5392
Earth,8.432,6.015,4.367,0.4043
Earth,7.643,3.705,5.293,0.5874
Earth,6.664,2.479,14.462,0.6012
Earth,8.298,5.429,9.099,0.433
Earth,9.207,7.832,14.826,0.2889
Earth,7.65,3.174,6.215,0.5674
Earth,7.149,4.227,7.407,0.6553
Earth,7.828,5.718,5.544,0.5964
Earth,6.645,4.791,3.56,0.6712
Earth,8.961,6.904,3.004,0.2575
Earth,8.979,6.332,14.231,0.2429
Earth,8.264,1.408,14.815,0.3094
Earth,7.559,7.989,1.629,0.7615
Earth,8.899,6.267,3.105,0.256
Earth,8.164,7.047,6.929,0.5322
Earth,8.978,5.558,3.609,0.2056
Earth,8.394,6.994,6.094,0.4528
Earth,8.853,1.787,2.807,0.1143
Earth,8.296,3.434,7.391,0.3624
Earth,7.742,7.135,4.804,0.6737
Earth,9.374,2.412,5.927,0.0903
Earth,8.123,1.548,2.32,0.3487
Earth,8.315,6.517,6.994,0.4633
Earth,7.161,6.848,14.766,0.7545
Earth,8.377,2.139,5.604,0.2881
Earth,8.215,6.98,13.27,0.5193
Earth,7.055,5.807,12.805,0.7161
Earth,6.679,4.641,14.329,0.6767
Earth,8.313,6.812,12.062,0.4794
Earth,8.791,3.935,10.234,0.2176
Earth,8.07,2.358,12.992,0.4055
Earth,7.18,2.994,2.059,0.6068
Earth,8.5,4.536,7.48,0.3331
Earth,6.74,4.719,14.85,0.68
Earth,7.826,6.639,11.774,0.6356
Earth,6.99,6.539,14.469,0.7434
Earth,7.053,5.07,11.915,0.6893
Earth,7.107,6.465,13.248,0.7395
Earth,7.66,2.342,10.891,0.5395
Earth,6.653,1.35,11.647,0.5589
Earth,7.693,7.115,8.324,0.6929
Earth,8.035,1.529,13.939,0.3891
Earth,7.95,2.727,12.551,0.458
Earth,7.648,5.867,12.814,0.6687
Earth,9.017,3.866,10.422,0.1457
Earth,6.936,7.134,5.264,0.755
Earth,8.017,3.086,1.499,0.4371
Earth,6.686,1.083,14.099,0.552
Earth,6.713,3.105,9.206,0.6179
Earth,8.222,5.047,5.174,0.4413
Earth,8.198,3.632,3.088,0.3975
Earth,9.134,4.744,12.613,0.1787
Earth,8.174,7.136,12.711,0.5379
Earth,9.379,7.387,12.403,0.271
Earth,6.646,2.862,10.031,0.6102
Earth,6.794,4.235,6.124,0.6543
Earth,6.632,4.844,5.257,0.6748
Earth,7.056,7.644,1.12,0.7687
Earth,8.124,7.99,12.671,0.5844
Earth,8.437,2.648,2.224,0.2827
Earth,6.637,6.089,9.831,0.7229
Earth,9.338,3.646,8.057,0.1357
Earth,9.026,1.057,8.374,0.0454
Earth,7.39,1.065,13.974,0.5512
Earth,6.732,4.224,1.443,0.6493
Earth,7.01,4.418,11.827,0.6665
Earth,6.881,1.158,1.729,0.5423
Earth,6.87,5.808,1.534,0.7048
Earth,8.056,3.058,7.017,0.4288
Earth,7.238,4.919,1.883,0.6741
Earth,7.574,3.106,12.048,0.596
Earth,9.469,2.17,8.414,0.0844
Earth,8.553,3.85,1.407,0.2852
Earth,9.347,2.626,1.567,0.0935
Earth,6.928,4.744,9.577,0.6756
Earth,7.646,2.392,12.286,0.5472
Earth,8.164,4.559,7.129,0.4453
Earth,6.73,2.102,8.764,0.5823
Earth,6.513,5.697,12.198,0.7116
Earth,8.511,6.278,9.547,0.3922
Earth,8.425,1.773,4.147,0.2577
Earth,7.732,4.275,9.583,0.5817
Earth,7.969,1.496,9.796,0.4058
Earth,7.746,5.187,11.277,0.6107
Earth,6.572,2.851,9.692,0.6095
Earth,7.506,4.693,14.569,0.6768
Earth,7.031,4.622,3.762,0.6655
Earth,6.795,7.47,14.315,0.7758
Earth,9.37,4.844,8.537,0.1781
Earth,8.298,5.081,10.407,0.4222
Earth,8.686,3.812,2.392,0.2405
Earth,7.446,7.644,6.328,0.7739
Earth,7.679,6.44,11.771,0.6774
Earth,7.211,2.998,10.897,0.6158
Earth,6.791,6.909,1.562,0.7434
Earth,7.037,4.027,8.652,0.6496
Earth,8.893,6.801,2.236,0.2761
Earth,8.533,6.76,14.942,0.4073
Earth,8.141,2.322,13.562,0.3812
Earth,7.925,5.908,1.295,0.5663
Earth,9.267,3.035,13.021,0.1192
Earth,6.718,3.082,13.872,0.6218
Earth,7.342,3.074,5.95,0.6136
Earth,7.55,6.079,11.073,0.7072
Earth,8.847,2.609,7.189,0.1494
Earth,9.478,1.006,10.173,0.0454
Earth,7.222,6.007,5.764,0.716
Earth,9.123,2.198,5.516,0.0825
Earth,8.992,1.731,6.942,0.0703
Earth,7.174,2.663,3.038,0.5962
Earth,7.698,3.659,12.636,0.5747
Earth,7.729,4.331,5.882,0.5811
Earth,9.435,1.312,6.602,0.0525
Earth,7.043,7.794,13.517,0.7863
Earth,8.897,6.012,7.953,0.2526
Earth,7.503,3.262,8.62,0.6219
Earth,8.693,3.231,14.391,0.2299
Earth,7.76,4.14,13.414,0.5716
Earth,8.235,5.384,3.373,0.4468
Earth,8.998,2.025,7.625,0.0792
Earth,8.912,2.323,14.598,0.1251
Earth,9.099,7.016,6.213,0.2518
Earth,6.679,2.794,6.202,0.604
Earth,8.576,3.661,3.73,0.2732
Earth,6.92,7.099,2.601,0.7511
Earth,7.747,5.642,11.364,0.6264
Earth,8.146,3.392,11.78,0.4152
Earth,7.708,5.786,14.566,0.6477
Earth,8.059,1.138,11.828,0.3654
Earth,9.49,6.149,4.407,0.2196
Earth,6.906,4.409,1.562,0.6559
Earth,8.526,6.692,14.796,0.4069
Earth,7.688,7.682,5.766,0.712
Earth,6.899,7.481,5.368,0.7672
Earth,6.976,7.365,13.683,0.7715
Earth,9.348,4.585,9.191,0.1697
Earth,9.139,3.521,4.008,0.1272
Earth,9.221,4.255,13.447,0.1624
Earth,9.475,5.829,14.907,0.2189
Earth,7.125,7.188,2.213,0.7538
Earth,7.566,2.449,13.072,0.5767
Earth,8.508,7.427,6.467,0.4305
Earth,7.951,6.706,8.337,0.5926
Earth,7.755,7.852,13.807,0.7036
Earth,7.573,7.162,14.627,0.7408
Earth,8.281,2.96,4.67,0.3478
Earth,8.227,1.742,3.98,0.3227
Earth,6.984,1.786,2.127,0.5646
Earth,7.915,3.039,8.865,0.4768
Earth,8.16,5.299,1.19,0.4665
Earth,8.211,6.63,6.767,0.5019
Earth,7.13,7.295,2.027,0.7573
Earth,8.727,5.366,6.673,0.2856
Earth,6.576,1.039,1.559,0.5379
Earth,7.564,2.304,12.693,0.5718
Earth,8.841,1.698,3.936,0.1165
Earth,8.192,3.543,5.596,0.3991
Earth,7.283,4.509,13.181,0.671
Earth,8.585,1.304,11.448,0.1955
Earth,8.202,3.439,4.067,0.3904
Earth,8.889,2.254,2.007,0.118
Earth,8.705,5.529,11.019,0.3029
Earth,8.33,4.25,6.47,0.3784
Earth,7.965,4.467,11.725,0.5132
Earth,6.9,3.994,7.234,0.647
Earth,7.284,7.692,5.844,0.7751
Earth,7.757,2.503,7.317,0.5092
Earth,8.298,4.617,11.48,0.4071
Earth,8.041,6.152,13.631,0.5486
Earth,7.365,4.898,1.697,0.6731
Earth,6.519,7.503,8.338,0.7709
Earth,7.989,3.646,1.46,0.4662
Earth,7.357,4.246,7.558,0.6562
Earth,8.704,1.62,13.394,0.1688
Earth,6.572,5.263,6.062,0.6903
Earth,8.254,3.017,14.054,0.3682
Earth,9.324,2.122,9.829,0.0841
Earth,7.023,4.812,14.078,0.6825
Earth,7.915,4.726,11.6,0.5387
Earth,6.774,1.531,2.448,0.556
Earth,8.377,5.888,4.236,0.418
Earth,8.152,5.366,6.518,0.4771
Earth,7.722,2.323,3.381,0.5107
Earth,8.064,4.286,7.929,0.4699
Earth,9.19,6.042,7.599,0.2191
Earth,7.089,4.706,14.388,0.6791
Earth,6.568,3.768,7.072,0.639
Earth,9.085,3.256,11.999,0.126
Earth,8.231,5.273,14.187,0.4549
Earth,9.172,7.574,13.278,0.2784
Earth,8.291,5.702,3.921,0.4399
Earth,8.93,1.523,7.944,0.0844
Earth,7.789,4.225,5.868,0.5574
Earth,8.75,7.236,6.598,0.3433
Earth,9.239,1.661,6.051,0.0642
Earth,8.216,7.922,12.569,0.5511
Earth,7.042,7.643,7.33,0.7749
Earth,7.306,1.548,8.332,0.5625
Earth,7.096,7.534,14.754,0.7784
Earth,7.241,3.542,1.84,0.6258
Earth,7.419,6.913,7.831,0.7498
Earth,8.165,3.929,11.837,0.4275
Earth,8.264,4.086,3.116,0.3915
Earth,7.779,5.44,9.561,0.6068
Earth,8.346,6.421,4.353,0.447
Earth,6.745,1.237,13.144,0.5564
Earth,6.763,5.152,5.579,0.6859
Earth,7.015,2.307,5.607,0.5864
Earth,8.054,3.422,9.375,0.4444
Earth,7.142,3.436,3.57,0.6238
Earth,7.35,4.283,4.988,0.6549
Earth,7.701,3.339,6.833,0.5567
Earth,8.936,1.752,5.951,0.0887
Earth,6.542,2.019,8.348,0.579
Earth,8.448,1.234,9.395,0.2365
Earth,8.507,4.292,8.933,0.3236
Earth,8.896,7.681,10.158,0.3137
Earth,9.298,1.81,5.308,0.0686
Earth,6.56,7.624,2.77,0.7696
Earth,6.961,6.134,11.651,0.7263
Earth,9.159,5.462,12.911,0.2041
Earth,7.876,5.517,4.598,0.5725
Earth,8.194,6.787,6.699,0.513
Earth,8.489,1.748,7.98,0.2395
Earth,8.537,4.533,8.467,0.3214
Earth,9.295,5.88,10.233,0.216
Earth,9.491,5.108,1.582,0.1804
Earth,8.66,6.829,11.101,0.3633
Earth,7.362,1.506,1.868,0.5546
Earth,9.139,5.835,7.556,0.2118
Earth,6.648,4.738,12.587,0.6784
Earth,7.193,3.654,7.317,0.6352
Earth,9.192,3.382,3.087,0.1215
Earth,7.269,5.346,14.79,0.7019
Earth,7.162,7.237,13.45,0.7667
Earth,6.914,4.473,11.798,0.6684
Earth,9.077,6.773,6.761,0.2438
Earth,8.0,3.815,3.574,0.4704
Earth,8.525,1.717,14.18,0.2327
Earth,7.217,1.431,8.453,0.5585
Earth,8.774,1.359,12.933,0.1358
Earth,8.78,3.661,5.789,0.2073
Earth,7.438,3.361,5.694,0.6233
Earth,7.732,6.026,14.798,0.6483
Earth,7.129,6.2,8.306,0.7253
Earth,9.43,1.356,2.97,0.0504
Earth,8.437,2.548,4.075,0.281
Earth,9.304,2.92,7.747,0.1099
Earth,7.41,4.833,1.595,0.6708
Earth,8.846,2.012,7.475,0.1293
Earth,8.798,1.938,6.865,0.1422
Earth,8.575,7.607,11.911,0.4198
Earth,9.397,6.629,5.969,0.238
Earth,7.681,2.265,14.756,0.5338
Earth,6.892,3.846,3.531,0.6381
Earth,8.515,3.489,9.274,0.293
Earth,8.688,6.537,2.256,0.3351
Earth,8.225,4.571,11.274,0.4295
Earth,7.12,1.895,14.927,0.5812
Earth,8.013,6.173,12.468,0.5574
Earth,7.437,3.778,8.78,0.641
Earth,7.782,2.84,7.786,0.5131
Earth,8.436,3.628,12.69,0.3278
Earth,8.736,4.484,14.104,0.2592
Earth,7.197,3.402,14.849,0.6339
Earth,7.716,2.693,6.552,0.5288
Earth,7.307,3.79,14.873,0.6475
Earth,7.096,1.134,3.183,0.5429
Earth,8.85,6.407,4.55,0.2788
Earth,9.228,2.197,2.246,0.0791
Earth,7.611,1.307,4.804,0.5137
Earth,8.754,5.576,11.751,0.289
Earth,9.191,6.418,12.941,0.2376
Earth,9.038,6.697,11.904,0.2463
Earth,7.048,4.455,9.835,0.6657
Earth,9.369,2.438,8.196,0.0935
Earth,7.63,6.161,10.922,0.6832
Earth,7.518,5.898,6.472,0.707
Earth,6.687,2.724,12.778,0.6081
Earth,7.959,7.324,10.481,0.614
Earth,6.827,1.731,10.769,0.5713
Earth,7.246,7.879,8.503,0.7843
Earth,7.451,7.022,13.393,0.7592
Earth,8.926,5.815,4.528,0.2326
Earth,9.126,7.571,6.336,0.2713
Earth,7.407,6.056,11.887,0.7239
Earth,9.076,2.333,7.898,0.0896
Earth,9.072,4.095,13.449,0.1568
Earth,8.794,1.501,5.85,0.1271
Earth,6.94,3.728,6.171,0.6366
Earth,8.571,6.191,13.442,0.3731
Earth,9.335,3.705,7.501,0.1372
Earth,8.548,3.312,8.226,0.2749
Earth,7.495,5.167,5.659,0.6865
Earth,8.002,7.105,4.873,0.5863
Earth,8.437,1.333,10.183,0.2444
Earth,8.032,3.698,2.678,0.4549
Earth,6.86,2.108,13.31,0.5871
Earth,7.436,5.867,11.909,0.7173
Earth,8.907,1.74,3.67,0.0955
Earth,9.084,5.654,10.716,0.2086
Earth,6.912,3.003,9.437,0.6146
Earth,9.357,2.392,3.583,0.0873
Earth,7.486,7.554,4.825,0.7692
Earth,8.487,1.13,6.726,0.2173
Earth,8.755,4.064,10.789,0.2346
Earth,8.936,1.151,9.942,0.0716
Earth,9.337,4.385,8.451,0.1619
Earth,7.439,4.507,11.758,0.6695
Earth,9.076,3.252,11.611,0.1254
Earth,6.895,1.925,9.65,0.577
Earth,8.615,3.635,12.018,0.2675
Earth,8.726,5.706,5.68,0.2967
Earth,8.533,6.477,13.337,0.3956
Earth,7.257,4.715,9.609,0.6746
Earth,9.119,5.129,12.513,0.192
Earth,7.007,2.404,8.648,0.5928
Earth,6.661,3.011,4.058,0.6095
Earth,8.652,2.133,8.594,0.1991
Earth,7.926,2.745,6.196,0.4601
Earth,9.047,2.574,10.765,0.1009
Earth,7.65,4.636,7.661,0.6199
Earth,7.005,4.939,12.706,0.6856
Earth,9.009,7.615,10.493,0.277
Earth,8.147,2.369,10.584,0.3779
Earth,7.068,5.492,4.04,0.6963
Earth,8.661,6.721,14.779,0.363
Earth,8.033,4.922,12.783,0.5073
Earth,8.313,2.785,12.046,0.3385
Earth,7.883,2.838,5.623,0.4774
Earth,8.986,1.275,8.499,0.0577
Earth,8.989,3.138,2.919,0.1165
Earth,8.628,6.212,8.539,0.3499
Earth,6.816,1.333,3.042,0.5497
Earth,9.017,2.535,8.743,0.0975
Earth,8.513,5.944,10.082,0.3804
Earth,8.591,6.479,6.463,0.3695
Earth,7.589,4.187,7.98,0.6249
Earth,9.138,5.887,13.259,0.2193
Earth,8.676,3.716,2.52,0.2405
Earth,6.838,2.119,12.084,0.5863
Earth,7.723,3.787,3.391,0.5615
Earth,9.159,5.06,1.514,0.1786
Earth,6.642,7.636,3.598,0.7709
Earth,9.384,1.481,11.711,0.0636
Earth,8.537,4.552,6.672,0.3202
Earth,8.394,3.302,13.215,0.3308
Earth,7.312,4.558,8.346,0.6679
Earth,7.246,1.168,1.312,0.5422
Earth,9.326,3.191,11.034,0.1227
Earth,7.395,6.739,2.543,0.7384
Earth,8.827,4.878,12.051,0.2406
Earth,7.679,4.154,3.353,0.589
Earth,6.918,2.999,5.836,0.6108
Earth,6.532,3.086,11.658,0.6197
Earth,8.133,3.682,14.359,0.4323
Earth,9.427,6.849,6.2,0.2459
Earth,7.607,7.77,12.612,0.7488
Earth,7.572,4.071,3.671,0.6223
Earth,7.532,3.753,12.301,0.6329
Earth,8.062,6.926,10.205,0.5654
Earth,7.822,3.988,3.698,0.536
Earth,9.14,4.864,5.235,0.1755
Earth,8.017,2.617,2.845,0.4222
Earth,8.023,6.205,6.362,0.5491
Earth,6.915,4.724,3.851,0.6692
Earth,9.448,6.663,10.016,0.2432
Earth,7.25,6.465,14.923,0.7412
Earth,6.72,2.505,1.168,0.5888
Earth,8.489,6.009,8.573,0.3891
Earth,8.286,6.6,9.031,0.478
Earth,7.745,3.423,13.799,0.5518
Earth,7.767,2.208,8.084,0.4965
Earth,8.855,1.018,8.612,0.0925
Earth,7.087,4.156,7.603,0.6531
Earth,8.961,3.467,4.765,0.1392
Earth,8.446,4.884,1.784,0.3573
Earth,7.757,2.316,6.721,0.5022
Earth,7.874,7.018,1.736,0.6227
Earth,7.27,2.804,8.707,0.6069
Earth,8.756,2.585,5.302,0.177
Earth,8.039,4.365,8.47,0.4817
Earth,7.463,4.492,2.88,0.6601
Earth,8.288,2.506,14.057,0.339
Earth,9.487,2.903,13.523,0.1151
Earth,7.806,2.188,3.66,0.4783
Earth,9.262,6.029,5.808,0.2168
Earth,7.535,6.391,9.589,0.7216
Earth,6.664,4.236,2.34,0.6506
Earth,7.113,5.999,5.964,0.7159
Earth,7.756,6.152,4.516,0.6345
Earth,7.159,1.968,13.817,0.5827
Earth,6.501,7.763,12.935,0.7846
Earth,9.245,6.747,9.118,0.2453
Earth,9.032,2.431,8.285,0.0934
Earth,8.727,2.303,14.03,0.1857
Earth,7.003,1.88,14.054,0.5798
Earth,6.861,1.969,14.571,0.5835
Earth,6.703,6.237,2.755,0.7211
Earth,8.672,4.288,3.248,0.2626
Earth,9.286,6.481,10.474,0.2373
Earth,7.792,6.224,8.58,0.6292
Earth,6.857,5.232,1.259,0.6844
Earth,8.037,5.805,1.868,0.526
Earth,7.546,1.128,13.433,0.5374
Earth,7.624,3.182,13.164,0.5831
Earth,8.364,5.465,6.002,0.4093
Earth,8.656,1.065,13.475,0.1654
Earth,6.832,1.231,9.311,0.5524
Earth,6.607,6.963,12.283,0.756
Earth,9.483,5.788,6.984,0.2096
Earth,7.198,2.858,2.588,0.6026
Earth,6.661,5.816,7.072,0.7106
Earth,7.07,6.547,7.402,0.7366
Earth,6.617,3.148,8.713,0.6189
Earth,7.675,1.252,2.478,0.4878
Earth,8.907,7.529,14.88,0.3093
Earth,7.524,3.416,4.418,0.6161
Earth,7.833,1.745,3.78,0.454
Earth,8.527,4.443,8.375,0.3216
Earth,8.027,6.379,8.521,0.5562
Earth,9.084,2.552,7.157,0.0965
Earth,9.098,2.886,11.806,0.1128
Earth,6.53,2.699,8.233,0.6027
Earth,8.834,7.942,9.536,0.3428
Earth,7.882,2.382,11.132,0.4671
Earth,9.467,5.029,1.35,0.1774
Earth,7.95,7.477,8.989,0.6208
Earth,9.461,2.028,13.379,0.0844
Earth,8.764,7.796,1.243,0.3529
Earth,7.246,7.632,6.673,0.7738
Earth,8.115,7.192,13.967,0.5606
Earth,9.476,2.502,5.944,0.0935
Earth,9.073,5.438,7.422,0.1978
Earth,6.792,6.326,14.742,0.7362
Earth,8.619,7.902,3.791,0.4073
Earth,7.537,2.263,1.914,0.5689
Earth,6.521,6.362,13.032,0.7357
Earth,7.71,3.372,13.159,0.561
